"Configuration","Konfiguration"
"General Options","Allgemeine Optionen"
"Enable Sitewards ""Disabled Products"" Extension","Sitewards-Extension ""Deaktivierte Produkte"" aktivieren"
"Replacement cms block","Ersatz-CMS-Block"
"This block will be shown instead of the "add to cart" button","Dieser Block wird statt des ""In den Warenkorb""-Buttons angezeigt"
